Epoch,Loss,Train Acc,Val Acc,Test Acc
0,1.9475396871566772,0.32142857142857145,0.324,0.358
1,1.921927571296692,0.2714285714285714,0.176,0.18
2,1.8779959678649902,0.4,0.276,0.284
3,1.8298684358596802,0.7,0.464,0.434
4,1.776224970817566,0.7285714285714285,0.512,0.481
5,1.720980167388916,0.7928571428571428,0.578,0.589
6,1.669306993484497,0.8785714285714286,0.676,0.699
7,1.6046808958053589,0.9071428571428571,0.726,0.76
8,1.5289593935012817,0.9357142857142857,0.77,0.786
9,1.4489054679870605,0.9428571428571428,0.79,0.804
10,1.4109351634979248,0.9714285714285714,0.792,0.816
11,1.3224014043807983,0.9714285714285714,0.794,0.825
12,1.2251667976379395,0.9714285714285714,0.796,0.827
13,1.1450486183166504,0.9714285714285714,0.798,0.83
14,1.0530943870544434,0.9714285714285714,0.798,0.83
15,0.973462700843811,0.9714285714285714,0.798,0.831
16,0.9181297421455383,0.9714285714285714,0.8,0.836
17,0.8613570332527161,0.9714285714285714,0.808,0.837
18,0.783331036567688,0.9714285714285714,0.82,0.838
19,0.7215071320533752,0.9714285714285714,0.814,0.835
20,0.6889387369155884,0.9714285714285714,0.806,0.83
21,0.647483229637146,0.9714285714285714,0.812,0.837
22,0.5497894883155823,0.9714285714285714,0.826,0.84
23,0.4986836016178131,0.9785714285714285,0.818,0.843
24,0.47446921467781067,0.9785714285714285,0.812,0.845
25,0.46132561564445496,0.9785714285714285,0.81,0.84
26,0.42115166783332825,0.9785714285714285,0.802,0.836
27,0.3549363315105438,0.9785714285714285,0.8,0.828
28,0.3216681480407715,0.9785714285714285,0.808,0.829
29,0.3553713262081146,0.9785714285714285,0.81,0.837
30,0.3249608874320984,0.9857142857142858,0.812,0.838
31,0.294685035943985,0.9928571428571429,0.81,0.842
32,0.29193735122680664,0.9928571428571429,0.812,0.841
33,0.2569982409477234,0.9857142857142858,0.82,0.846
34,0.24858063459396362,0.9857142857142858,0.82,0.843
35,0.2507358491420746,0.9857142857142858,0.82,0.84
36,0.21263767778873444,0.9857142857142858,0.814,0.84
37,0.24502937495708466,0.9928571428571429,0.814,0.841
38,0.20057016611099243,1.0,0.818,0.833
39,0.20456081628799438,1.0,0.814,0.833
40,0.21319206058979034,1.0,0.812,0.839
41,0.18589600920677185,1.0,0.814,0.843
42,0.19739510118961334,1.0,0.82,0.845
43,0.16747860610485077,1.0,0.826,0.849
44,0.17471161484718323,1.0,0.828,0.843
45,0.15569519996643066,1.0,0.816,0.832
46,0.15553654730319977,1.0,0.812,0.834
47,0.17110152542591095,1.0,0.818,0.834
48,0.15040414035320282,1.0,0.818,0.832
49,0.1614305078983307,1.0,0.808,0.834
50,0.15039527416229248,1.0,0.814,0.838
51,0.15890422463417053,1.0,0.816,0.849
52,0.16418394446372986,1.0,0.822,0.843
53,0.13731010258197784,1.0,0.828,0.843
54,0.11836913228034973,1.0,0.826,0.845
55,0.14866594970226288,1.0,0.826,0.842
56,0.14197608828544617,1.0,0.822,0.831
57,0.12443588674068451,1.0,0.82,0.832
58,0.11618196964263916,1.0,0.818,0.83
59,0.15530022978782654,1.0,0.82,0.838
60,0.11623092740774155,1.0,0.82,0.849
61,0.13231295347213745,1.0,0.828,0.849
62,0.14310906827449799,1.0,0.818,0.848
63,0.13147598505020142,1.0,0.82,0.846
64,0.1220046728849411,1.0,0.818,0.839
65,0.12589913606643677,1.0,0.822,0.834
66,0.12437192350625992,1.0,0.808,0.825
67,0.12996765971183777,1.0,0.804,0.83
68,0.13691362738609314,1.0,0.818,0.84
69,0.11913991719484329,1.0,0.824,0.845
70,0.1256769746541977,1.0,0.822,0.846
71,0.12722304463386536,1.0,0.812,0.842
72,0.11606565117835999,1.0,0.81,0.836
73,0.1297452300786972,1.0,0.81,0.832
74,0.12932926416397095,1.0,0.826,0.843
75,0.1291094571352005,1.0,0.828,0.854
76,0.12132023274898529,1.0,0.832,0.858
77,0.108857661485672,1.0,0.834,0.86
78,0.12383107095956802,1.0,0.83,0.857
79,0.120347760617733,1.0,0.83,0.842
80,0.1246437206864357,1.0,0.81,0.826
81,0.1370624601840973,1.0,0.806,0.828
82,0.12230419367551804,1.0,0.804,0.829
83,0.1061607375741005,1.0,0.81,0.841
84,0.12945884466171265,1.0,0.826,0.856
85,0.12897641956806183,1.0,0.828,0.864
86,0.12039299309253693,1.0,0.84,0.863
87,0.11861870437860489,1.0,0.834,0.86
88,0.10594413429498672,1.0,0.82,0.845
89,0.10568788647651672,1.0,0.816,0.828
90,0.09204090386629105,1.0,0.812,0.823
91,0.12358520925045013,1.0,0.814,0.827
92,0.08974088728427887,1.0,0.814,0.833
93,0.09136203676462173,1.0,0.816,0.843
94,0.11813660711050034,1.0,0.818,0.855
95,0.10716912150382996,1.0,0.826,0.857
96,0.10060664266347885,1.0,0.828,0.856
97,0.0945671796798706,1.0,0.83,0.85
98,0.10080567747354507,1.0,0.828,0.852
99,0.08677311986684799,1.0,0.824,0.846
